team,win_probability
Argentina,0.295836
France,0.229964
Spain,0.182055
England,0.059963
Morocco,0.038921
Mexico,0.037573
Netherlands,0.034563
Brazil,0.032355
Colombia,0.028505
Portugal,0.013896
Japan,0.009733
Germany,0.007905
Belgium,0.007533
Switzerland,0.00738
Croatia,0.005333
Norway,0.002436
Ivory Coast,0.001585
Senegal,0.001316
Egypt,0.001053
Algeria,0.000905
Australia,0.000558
United States,0.00035
Ecuador,0.000183
Austria,7.4e-05
DR Congo,1.4e-05
Canada,1.1e-05
Ghana,0.0
Cape Verde,0.0
Paraguay,0.0
Bosnia and Herzegovina,0.0
South Africa,0.0
Sweden,0.0
